timestamp,server_name,attempt,status,load_time_seconds,title,success_count,failure_count,consecutive_failures,failure_percent_all_time,avg_success_load_time_all_time,min_success_load_time_all_time,max_success_load_time_all_time,failure_percent_last_50,avg_success_load_time_last_50,min_success_load_time_last_50,max_success_load_time_last_50,browser_binary,url
2026-03-06 11:42:14,Daniels-MacBook-Pro.local,1,ok,1.83,Lockify360,1,0,0,0.0,1.83,1.83,1.83,0.0,1.83,1.83,1.83,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,https://lockify360.com
2026-03-06 11:42:20,Daniels-MacBook-Pro.local,2,ok,1.19,Lockify360,2,0,0,0.0,1.51,1.19,1.83,0.0,1.51,1.19,1.83,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,https://lockify360.com
2026-03-06 11:42:26,Daniels-MacBook-Pro.local,3,ok,0.72,Lockify360,3,0,0,0.0,1.24,0.72,1.83,0.0,1.24,0.72,1.83,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,https://lockify360.com
2026-03-06 11:42:32,Daniels-MacBook-Pro.local,4,ok,1.22,Lockify360,4,0,0,0.0,1.24,0.72,1.83,0.0,1.24,0.72,1.83,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,https://lockify360.com
2026-03-06 11:42:58,Daniels-MacBook-Pro.local,5,timeout,20.01,,4,1,1,20.0,1.24,0.72,1.83,20.0,1.24,0.72,1.83,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,https://lockify360.com
2026-03-06 11:43:04,Daniels-MacBook-Pro.local,6,ok,1.53,Lockify360,5,1,0,16.7,1.30,0.72,1.83,16.7,1.30,0.72,1.83,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,https://lockify360.com
2026-03-06 11:43:30,Daniels-MacBook-Pro.local,7,timeout,20.01,,5,2,1,28.6,1.30,0.72,1.83,28.6,1.30,0.72,1.83,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,https://lockify360.com
2026-03-06 11:43:36,Daniels-MacBook-Pro.local,8,ok,1.63,Lockify360,6,2,0,25.0,1.35,0.72,1.83,25.0,1.35,0.72,1.83,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,https://lockify360.com
2026-03-06 11:43:43,Daniels-MacBook-Pro.local,9,ok,1.58,Lockify360,7,2,0,22.2,1.38,0.72,1.83,22.2,1.38,0.72,1.83,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,https://lockify360.com
2026-03-06 11:43:56,Daniels-MacBook-Pro.local,1,ok,1.42,Lockify360,1,0,0,0.0,1.42,1.42,1.42,0.0,1.42,1.42,1.42,/Applications/Google Chrome.app/Contents/MacOS/Google Chrome,https://lockify360.com
